@relation items

@attribute item_category {Clothing, Collectables, Electronics, Furniture, Jewellery_and_Watches, Video_Games_and_Consoles, Vehicles}
@attribute item_name string
@attribute item_features string

@data
Vehicles, '2024 Mercedes-AMG C63', 'Brand: Mercedes, Model: AMG C63, Year: 2024, Colour: Black, Mileage: 15000'
Furniture, 'Chesterfield 2 Seater Sofa Real', 'Brand: IKEA, Type: Sofa, Colour: Brown, Type: Leather'
Collectables, 'Snazee Snail Metal Decor', 'Brand: Funko, Series: Pop, Number: 456'
Furniture, 'Large Velvet Corner Sofa', 'Brand: IKEA, Type: Sofa, Colour: Brown'
Jewellery_and_Watches, 'Rolex Datejust Green Men''s Watch - 126334', 'Brand: Rolex, Model:  126334, Colour: Silver'
Video_Games_and_Consoles, 'Xbox Series X & S Wireless Controller Pulse Red', 'Brand: Microsoft, Colour: Red, Model: X-box'
Clothing, 'Nike Jordan 3 Nina Chanel Abneys Bicoastal', 'Brand: Nike Jordan, Size:7, Colour: green'
Jewellery_and_Watches, 'Casio G-Shock Classics', 'Brand: Casio, Model: GA-2110SU-9AER, Colour: Yellow Strap'
Electronics, 'Apple iPhone X', 'Brand: Apple, RAM:8GB, Model: iPhone X, Colour: Silver'
Vehicles, '2018 Audi A4', 'Brand: Audi, Model: A4, Year: 2018, Colour: Gray, Mileage: 35000'
Furniture, 'Dining Chair Set', 'Brand: Ashley Furniture, Type: Dining Chair, Colour: Beige'
Collectables, 'Antique Vase', 'Brand: Unknown, Type: Vase, Year: 1920, Colour: White'
Jewellery_and_Watches, 'Fossil Smartwatch', 'Brand: Fossil, Model: Gen 5, Year: 2020, Colour: Black'
Clothing, 'Under Armour T-Shirt', 'Brand: Under Armour, Size: L, Colour: Blue'
Electronics, 'Sony WH-1000XM4', 'Brand: Sony, Model: WH-1000XM4, Year: 2020, Colour: Black'
Vehicles, '2017 Honda Accord', 'Brand: Honda, Model: Accord, Year: 2017, Colour: White, Mileage: 45000'
Furniture, 'Patio Furniture Set', 'Brand: Home Depot, Type: Patio Set, Colour: Brown'
Video_Games_and_Consoles, 'PlayStation 4 Pro', 'Brand: Sony, Model: PS4 Pro, Year: 2016, Colour: Black'
Jewellery_and_Watches, 'Citizen Eco-Drive Watch', 'Brand: Citizen, Model: Eco-Drive, Year: 2021, Colour: Silver'
Clothing, 'Adidas Running Shoes', 'Brand: Adidas, Size: 32, Colour: Blue'
Collectables, 'Rare Coin Collection', 'Brand: Unknown, Type: Coin Collection, Year: 1800, Colour: Silver'
Electronics, 'Canon EOS 90D', 'Brand: Canon, Model: EOS 90D, Year: 2019, Colour: Black, RAM: 32GB'
Vehicles, '2021 Chevrolet Tahoe', 'Brand: Chevrolet, Model: Tahoe, Year: 2021, Colour: Black, Mileage: 20000'
Furniture, 'Queen Bed Frame', 'Brand: Wayfair, Type: Bed Frame, Colour: Black'
Jewellery_and_Watches, 'Bulova Men''s Watch', 'Brand: Bulova, Model: 96B258, Year: 2021, Colour: Gold'
Clothing, 'Puma Running Shorts', 'Brand: Puma, Size: M, Colour: Black'
